iter	Quantile:alpha=0.5
266	6.441692731
267	6.428891291
268	6.417104949
269	6.406092451
270	6.397822914
271	6.392987517
272	6.382779019
273	6.359412027
274	6.351181959
275	6.309698873
276	6.29608352
277	6.27978684
278	6.275494622
279	6.266937405
280	6.252492524
281	6.245664016
282	6.232406561
283	6.224575065
284	6.213946875
285	6.189465434
286	6.183849813
287	6.172753957
288	6.166304015
289	6.142419022
290	6.132773395
291	6.117263214
292	6.105109301
293	6.094413716
294	6.083102866
295	6.064389331
296	6.047826286
297	6.036424581
298	6.022041781
299	6.020076007
300	6.012209584
301	6.001843936
302	5.99404313
303	5.991952362
304	5.98555196
305	5.974440255
306	5.973225829
307	5.960564903
308	5.951168776
309	5.943398234
310	5.940322052
311	5.931082791
312	5.913079624
313	5.905133626
314	5.898982728
315	5.89164354
316	5.885117581
317	5.880748213
318	5.875232732
319	5.869729095
320	5.865798364
321	5.854591409
322	5.841344428
323	5.825631624
324	5.81386051
325	5.795001325
326	5.792496846
327	5.786723185
328	5.776847652
329	5.770340079
330	5.760034819
331	5.752727577
332	5.749942569
333	5.740624046
334	5.735733496
335	5.734308417
336	5.719586369
337	5.711830493
338	5.704520586
339	5.687262922
340	5.683531632
341	5.68055257
342	5.667465114
343	5.664487271
344	5.662869427
345	5.658914719
346	5.654950536
347	5.651398861
348	5.628457793
349	5.619608316
350	5.614583847
351	5.601546648
352	5.592893405
353	5.588852241
354	5.585172503
355	5.573920182
356	5.565123498
357	5.558229483
358	5.55012308
359	5.541123202
360	5.535165707
361	5.532413978
362	5.517851648
363	5.510423474
364	5.502205113
365	5.497277698
366	5.47988671
367	5.478945766
368	5.470150182
369	5.462799501
370	5.460597547
371	5.45357281
372	5.445207586
373	5.437091169
374	5.430220774
375	5.41869631
376	5.412889084
377	5.409521849
378	5.405301816
379	5.403539562
380	5.39110604
381	5.38761729
382	5.386255444
383	5.382602293
384	5.379600343
385	5.375441344
386	5.370504094
387	5.365698322
388	5.356910655
389	5.352941688
390	5.348909162
391	5.34517091
392	5.34393593
393	5.339621246
394	5.336228262
395	5.335059781
396	5.332608976
397	5.329965289
398	5.326206016
399	5.298595448
400	5.290609383
401	5.281458466
402	5.278021046
403	5.277105776
404	5.270591279
405	5.257600933
406	5.252207954
407	5.242935353
408	5.241067506
409	5.233367035
410	5.231266123
411	5.229892107
412	5.22792543
413	5.225926528
414	5.224096681
415	5.21904923
416	5.21562062
417	5.203314132
418	5.19989369
419	5.197734324
420	5.19147486
421	5.180673693
422	5.179346102
423	5.169166877
424	5.137928828
425	5.117296806
426	5.115009363
427	5.104566311
428	5.103008312
429	5.099756802
430	5.089019126
431	5.086317741
432	5.077067596
433	5.075586101
434	5.070607691
435	5.044494079
436	5.043802793
437	5.042330667
438	5.040264468
439	5.03652484
440	5.031403571
441	5.030714067
442	5.028391019
443	5.027014139
444	5.019236116
445	5.013900316
446	5.008103489
447	5.005515165
448	4.995991173
449	4.994795591
450	4.98588033
451	4.984100112
452	4.980722035
453	4.975445392
454	4.971974177
455	4.96811968
456	4.965001094
457	4.962420033
458	4.955922199
459	4.953849963
460	4.951196899
461	4.949906997
462	4.947528973
463	4.943442616
464	4.941650129
465	4.935623927
466	4.931919331
467	4.930144995
468	4.925176333
469	4.922123536
470	4.921296724
471	4.920555511
472	4.917633229
473	4.915096608
474	4.913242091
475	4.906092514
476	4.890705394
477	4.877292025
478	4.876452062
479	4.871484057
480	4.869469046
481	4.867059782
482	4.864548691
483	4.860083177
484	4.859125284
485	4.856010701
486	4.852627214
487	4.845202567
488	4.842292393
489	4.836752978
490	4.833995334
491	4.832643428
492	4.830657037
493	4.829509033
494	4.824029364
495	4.821570865
496	4.818163502
497	4.815585788
498	4.810456101
499	4.808541569
500	4.80778481
501	4.804293419
502	4.7990998
503	4.797127315
504	4.793489981
505	4.789902237
506	4.788598298
507	4.783269664
508	4.781794583
509	4.77753832
510	4.775611742
511	4.773695839
512	4.771460301
513	4.768985715
514	4.763524638
515	4.762809535
516	4.76216481
517	4.752565552
518	4.751099678
519	4.74992365
520	4.742276016
521	4.73495785
522	4.729414272
523	4.721225971
524	4.712681163
525	4.711322492
526	4.706651281
527	4.698156894
528	4.69618596
529	4.692250603
530	4.691611602
531	4.689986829
532	4.6894421
533	4.687498709
534	4.686046881
535	4.684704448
536	4.683933791
537	4.681302829
538	4.680709189
539	4.670205503
540	4.664868146
541	4.659444158
542	4.659035663
543	4.658730962
544	4.65668169
545	4.652202418
546	4.64746099
547	4.641578057
548	4.628393677
549	4.624931906
550	4.622194201
551	4.615131909
552	4.614357715
553	4.613248309
554	4.612608716
555	4.61070622
556	4.608608666
557	4.604681567
558	4.603873261
559	4.597624586
560	4.594219051
561	4.590881162
562	4.587305645
563	4.586250761
564	4.582537501
565	4.581715636
566	4.581051382
567	4.579443617
568	4.578767729
569	4.576191716
570	4.572954695
571	4.571902954
572	4.568934742
573	4.566635452
574	4.563206872
575	4.561487323
576	4.560070465
577	4.557170573
578	4.554428453
579	4.551960067
580	4.54734943
581	4.546365003
582	4.54436214
583	4.542799541
584	4.542072523
585	4.540643069
586	4.53937763
587	4.537885392
588	4.537017061
589	4.536126114
590	4.531911053
591	4.528943747
592	4.527219295
593	4.522682122
594	4.519743009
595	4.51495941
596	4.512256319
597	4.509553846
598	4.508872054
599	4.503638762
600	4.502637688
601	4.501494934
602	4.5005532
603	4.497222804
604	4.490302197
605	4.489618091
606	4.483313997
607	4.476493695
608	4.473473646
609	4.472914797
610	4.464881975
611	4.461088267
612	4.460592689
613	4.452439808
614	4.449146363
615	4.445382432
616	4.444782266
617	4.442449845
618	4.442055288
619	4.441094736
620	4.440658993
621	4.439772662
622	4.437284436
623	4.435650475
624	4.414303466
625	4.410466407
626	4.406946963
627	4.403430713
628	4.400431256
629	4.399712575
630	4.397697195
631	4.397411946
632	4.395918077
633	4.389528281
634	4.387366293
635	4.382934851
636	4.382881666
637	4.380858026
638	4.378373662
639	4.374177595
640	4.371687965
641	4.368500697
642	4.365102105
643	4.359729861
644	4.356860894
645	4.355738564
646	4.352533837
647	4.344881529
648	4.342727281
649	4.338933379
650	4.337186938
651	4.336389465
652	4.332525105
653	4.330043412
654	4.326453254
655	4.323888623
656	4.321365692
657	4.317301866
658	4.315451308
659	4.314144656
660	4.307348491
661	4.304344414
662	4.301735854
663	4.294648148
664	4.293156118
665	4.292176724
666	4.282668628
667	4.281469607
668	4.279717026
669	4.278583131
670	4.278063442
671	4.273159467
672	4.267536335
673	4.265462115
674	4.261170338
675	4.260754269
676	4.256998322
677	4.253531501
678	4.252769838
679	4.246652506
680	4.243992819
681	4.240302204
682	4.235254614
683	4.235015031
684	4.232759672
685	4.228915818
686	4.222784475
687	4.222142982
688	4.219667646
689	4.218654235
690	4.215490303
691	4.213986233
692	4.211065745
693	4.210133797
694	4.208132234
695	4.206560901
696	4.202972606
697	4.198041067
698	4.18642123
699	4.18332187
700	4.18242084
701	4.176110001
702	4.171427594
703	4.169937663
704	4.169226336
705	4.168150059
706	4.163375743
707	4.15942359
708	4.158222821
709	4.155725594
710	4.154547736
711	4.151188497
712	4.144876816
713	4.14349769
714	4.138949556
715	4.137699264
716	4.13586282
717	4.132498716
718	4.130438906
719	4.12865003
720	4.124535693
721	4.121703561
722	4.118287826
723	4.113862549
724	4.113301775
725	4.109123422
726	4.108139546
727	4.106443606
728	4.10217782
729	4.100741226
730	4.099761656
731	4.094986862
732	4.09473378
733	4.094029677
734	4.092628757
735	4.091140625
736	4.08870328
737	4.087136153
738	4.08614414
739	4.079650178
740	4.07851427
741	4.078118044
742	4.068700006
743	4.061782203
744	4.059575903
745	4.058873929
746	4.056581508
747	4.054236946
748	4.051120523
749	4.047674601
750	4.044848907
751	4.044242121
752	4.040268658
753	4.031191172
754	4.028844842
755	4.028393035
756	4.027684642
757	4.025130381
758	4.023426422
759	4.019080385
760	4.018687933
761	4.017412042
762	4.013951213
763	4.012126066
764	4.011101347
765	4.009963031
766	4.003653122
767	3.999849507
768	3.998990112
769	3.997612639
770	3.996968543
771	3.994090045
772	3.993145892
773	3.98723631
774	3.985623538
775	3.983711574
776	3.982622312
777	3.977893546
778	3.97769917
779	3.975892894
780	3.972994588
781	3.970006257
782	3.966564436
783	3.958796713
784	3.955378642
785	3.955056163
786	3.95388604
787	3.951397746
788	3.950889385
789	3.949059329
790	3.947481435
791	3.946395693
792	3.945439681
793	3.944637465
