iter	Passed	Remaining
399	2312	12139
400	2319	12141
401	2329	12158
402	2353	12246
403	2366	12276
404	2382	12322
405	2392	12341
406	2399	12341
407	2451	12571
408	2458	12567
409	2461	12549
410	2464	12526
411	2468	12509
412	2474	12503
413	2488	12537
414	2493	12527
415	2496	12507
416	2499	12483
417	2503	12467
418	2505	12444
419	2508	12422
420	2510	12397
421	2514	12379
422	2516	12354
423	2519	12334
424	2521	12309
425	2523	12283
426	2526	12265
427	2528	12240
428	2531	12220
429	2533	12196
430	2536	12176
431	2540	12161
432	2543	12141
433	2545	12117
434	2548	12099
435	2551	12078
436	2555	12063
437	2557	12039
438	2560	12018
439	2562	11996
440	2565	11978
441	2568	11958
442	2570	11934
443	2573	11917
444	2575	11894
445	2579	11877
446	2581	11854
447	2583	11835
448	2585	11811
449	2587	11789
450	2589	11765
451	2592	11747
452	2594	11725
453	2598	11709
454	2600	11686
455	2603	11670
456	2606	11651
457	2610	11638
458	2613	11619
459	2617	11606
460	2619	11586
461	2624	11577
462	2627	11559
463	2631	11546
464	2633	11526
465	2636	11507
466	2638	11488
467	2641	11469
468	2645	11456
469	2648	11439
470	2651	11420
471	2655	11409
472	2657	11390
473	2661	11374
474	2663	11354
475	2666	11338
476	2669	11319
477	2672	11305
478	2675	11287
479	2679	11276
480	2681	11257
481	2685	11242
482	2688	11228
483	2692	11214
484	2694	11194
485	2697	11178
486	2699	11158
487	2701	11137
488	2703	11117
489	2705	11097
490	2707	11077
491	2710	11063
492	2712	11044
493	2716	11029
494	2718	11010
495	2722	10999
496	2724	10981
497	2728	10968
498	2730	10949
499	2733	10933
500	2735	10914
501	2738	10900
502	2740	10881
503	2744	10868
504	2746	10849
505	2748	10832
506	2751	10817
507	2753	10797
508	2756	10783
509	2758	10764
510	2761	10746
511	2762	10728
512	2772	10739
513	2775	10723
514	2778	10708
515	2781	10693
516	2783	10676
517	2786	10663
518	2789	10648
519	2792	10634
520	2795	10618
521	2798	10603
522	2800	10585
523	2802	10569
524	2804	10551
525	2807	10537
526	2810	10521
527	2814	10510
528	2821	10511
529	2823	10496
530	2826	10480
531	2828	10463
532	2831	10449
533	2833	10431
534	2835	10413
535	2837	10396
536	2841	10387
537	2844	10372
538	2846	10356
539	2848	10339
540	2852	10327
541	2854	10310
542	2859	10305
543	2861	10288
544	2864	10276
545	2866	10260
546	2870	10248
547	2876	10244
548	2879	10231
549	2881	10215
550	2883	10198
551	2886	10186
552	2889	10174
553	2892	10160
554	2894	10143
555	2897	10132
556	2899	10115
557	2903	10103
558	2906	10092
559	2909	10080
560	2911	10063
561	2915	10052
562	2917	10038
563	2919	10022
564	2923	10011
565	2925	9995
566	2927	9978
567	2929	9965
568	2931	9949
569	2934	9937
570	2938	9925
571	2941	9914
572	2943	9900
573	2946	9885
574	2949	9874
575	2951	9858
576	2955	9849
577	2957	9834
578	2960	9821
579	2962	9805
580	2965	9795
581	2967	9779
582	2971	9771
583	2973	9755
584	2976	9744
585	2978	9729
586	2982	9718
587	2984	9704
588	2988	9695
589	2990	9679
590	2993	9668
591	2995	9653
592	2998	9642
593	3001	9630
594	3006	9624
595	3008	9611
596	3014	9609
597	3019	9602
598	3023	9596
599	3026	9582
600	3028	9570
601	3031	9556
602	3035	9549
603	3037	9535
604	3040	9524
605	3043	9511
606	3046	9499
607	3048	9486
608	3055	9487
609	3057	9473
610	3060	9461
611	3062	9447
612	3068	9447
613	3070	9432
614	3074	9422
615	3075	9407
616	3079	9397
617	3086	9397
618	3088	9383
619	3090	9369
620	3093	9359
621	3095	9345
622	3099	9338
623	3101	9325
624	3105	9315
625	3107	9301
626	3110	9291
627	3112	9277
628	3115	9267
629	3117	9254
630	3120	9241
631	3122	9228
632	3124	9216
633	3126	9203
634	3130	9194
635	3132	9181
636	3136	9171
637	3138	9159
638	3140	9145
639	3143	9134
640	3145	9121
641	3148	9112
642	3150	9099
643	3154	9090
644	3156	9077
645	3159	9067
646	3161	9053
647	3164	9044
648	3166	9031
649	3168	9018
650	3170	9005
651	3173	8994
652	3175	8981
653	3178	8971
654	3180	8958
655	3183	8947
656	3185	8935
657	3188	8926
658	3190	8913
659	3194	8904
660	3196	8893
661	3198	8880
662	3202	8872
663	3205	8862
664	3209	8857
665	3212	8846
666	3217	8842
667	3219	8830
668	3223	8823
669	3226	8812
670	3229	8803
671	3232	8792
672	3235	8783
673	3237	8771
674	3241	8763
675	3243	8750
676	3246	8742
677	3248	8730
678	3252	8722
679	3255	8712
680	3258	8702
681	3261	8692
682	3263	8680
683	3266	8672
684	3268	8660
685	3271	8649
686	3273	8638
687	3276	8628
688	3278	8616
689	3281	8608
690	3283	8596
691	3286	8586
692	3288	8575
693	3292	8566
694	3294	8555
695	3298	8549
696	3300	8537
697	3303	8528
698	3305	8516
699	3309	8508
700	3311	8497
701	3315	8492
702	3318	8482
703	3321	8474
704	3323	8463
705	3326	8453
706	3328	8442
707	3331	8433
708	3333	8421
709	3336	8412
710	3338	8401
711	3341	8391
712	3344	8381
713	3346	8370
714	3349	8362
715	3351	8350
716	3355	8345
717	3357	8333
718	3360	8324
719	3362	8313
720	3365	8304
721	3367	8293
722	3370	8282
723	3372	8271
724	3375	8264
725	3377	8253
726	3380	8243
727	3383	8234
728	3386	8227
729	3389	8217
730	3392	8209
731	3394	8198
732	3397	8190
733	3399	8179
734	3402	8170
735	3404	8159
736	3407	8150
737	3409	8139
738	3412	8131
739	3414	8120
740	3417	8111
741	3419	8100
742	3421	8091
743	3424	8081
744	3426	8070
745	3428	8062
746	3431	8051
747	3433	8043
748	3435	8032
749	3440	8026
750	3443	8018
751	3446	8011
752	3449	8002
753	3451	7993
754	3453	7982
755	3456	7974
756	3458	7964
757	3462	7956
758	3464	7946
759	3467	7939
760	3469	7928
761	3473	7921
762	3475	7911
763	3478	7904
764	3480	7894
765	3484	7887
766	3486	7876
767	3488	7868
768	3491	7858
769	3496	7856
770	3499	7848
771	3503	7841
772	3505	7831
773	3508	7824
774	3511	7815
775	3515	7810
776	3517	7800
777	3520	7792
778	3522	7782
779	3525	7773
780	3527	7763
781	3529	7753
782	3532	7746
783	3536	7740
784	3538	7730
785	3541	7721
786	3543	7711
787	3547	7707
788	3549	7697
789	3553	7691
790	3555	7681
791	3557	7671
792	3559	7661
793	3563	7656
