listing_id,base_price,room_type,property_type,accommodates,bedrooms,beds,bathrooms,city,neighbourhood_cleansed,latitude,longitude,minimum_nights,maximum_nights,host_is_superhost,amenities_count,number_of_reviews,reviews_per_month,avg_rating,review_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
23279476,357.65,Entire home/apt,Entire rental unit,5,3.0,3.0,2.5,"Athens, Greece",ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98217,23.73653,2,1125,0.0,10,0,,,,,,,,,,
23318489,290.59,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96246,23.71985,1,1125,0.0,41,101,1.23,4.5,2.0,4.62,4.63,4.54,4.78,4.7,4.79,4.58
23372536,566.27,Entire home/apt,Entire condo,9,4.0,5.0,2.0,"Athens, Greece",ΓΟΥΔΙ,37.98029,23.75643,1,1125,0.0,51,282,3.41,3.5,2.0,4.84,4.92,4.72,4.97,4.94,4.84,4.81
23442372,491.76,Entire home/apt,Entire rental unit,6,3.0,4.0,2.0,"Athens, Greece",ΠΑΓΚΡΑΤΙ,37.97063,23.74422,1,1125,,53,65,0.79,5.0,2.0,4.94,4.89,4.8,4.97,4.98,4.89,4.89
23479247,275.69,Entire home/apt,Entire rental unit,8,3.0,4.0,2.0,"Filothei, Greece",ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.99136,23.71875,2,1125,0.0,47,153,1.86,5.0,1.0,4.72,4.82,4.9,4.83,4.82,4.26,4.69
23514904,230.98,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,"Athens, Greece",ΠΕΤΡΑΛΩΝΑ,37.9688,23.70979,61,1125,1.0,30,15,0.22,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.93,4.87
23700696,238.43,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,"Heraklion, Greece",ΠΑΓΚΡΑΤΙ,37.96859,23.7497,4,1125,0.0,31,150,1.82,5.0,1.0,4.77,4.84,4.67,4.91,4.9,4.81,4.72
23719774,149.02,Entire home/apt,Entire rental unit,2,1.0,2.0,1.0,"Athens, Greece",ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98756,23.7345,4,10,1.0,14,124,1.51,,,4.92,4.99,4.96,5.0,5.0,4.68,4.95
23723904,156.47,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,"Athens, Greece",ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98668,23.71398,2,15,0.0,28,25,0.31,,,4.96,5.0,4.96,5.0,5.0,4.6,4.88
23863233,305.49,Entire home/apt,Entire rental unit,2,1.0,2.0,1.5,"Alimos, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97673,23.7272,2,17,0.0,18,155,1.9,,,4.52,4.75,4.65,4.88,4.92,4.86,4.52
23888232,201.18,Private room,Private room in rental unit,2,1.0,1.0,1.5,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9645,23.72635,1,5,0.0,18,71,0.87,,,4.66,4.76,4.75,4.83,4.7,4.83,4.72
23888448,201.18,Private room,Private room in rental unit,2,1.0,1.0,1.5,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9645,23.72635,1,5,0.0,22,42,0.52,5.0,1.0,4.62,4.86,4.81,4.83,4.62,4.86,4.69
23915849,342.75,Entire home/apt,Entire rental unit,4,2.0,3.0,1.0,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9637,23.7228,1,5,0.0,14,4,0.05,,,4.0,4.0,4.25,4.0,4.25,4.0,4.0
23942086,201.18,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,"Athens, Greece",ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98591,23.71312,2,20,1.0,32,111,1.35,,,4.88,4.92,4.95,4.95,4.96,4.46,4.81
23987766,618.43,Entire home/apt,Entire rental unit,6,2.0,4.0,2.0,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9675,23.72921,1,1125,1.0,53,17,0.21,,,5.0,5.0,5.0,5.0,5.0,5.0,4.65
24019089,290.59,Entire home/apt,Entire home,4,2.0,2.0,2.0,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98707,23.73526,3,1125,1.0,29,55,0.68,5.0,1.0,4.91,4.91,4.95,4.89,4.87,4.8,4.85
24038249,208.63,Entire home/apt,Entire condo,4,1.0,3.0,1.0,"Athens, Greece",ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99603,23.72277,3,59,1.0,40,125,1.53,3.4,5.0,4.93,4.97,4.96,4.95,4.98,4.61,4.9
24136062,946.27,Entire home/apt,Entire rental unit,6,2.0,3.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97786,23.72842,3,365,,34,78,0.96,,,4.91,4.91,4.88,4.99,4.97,4.9,4.87
24150729,469.41,Hotel room,Room in boutique hotel,4,1.0,1.0,1.0,,ΑΚΡΟΠΟΛΗ,37.969,23.72406,1,1125,0.0,15,0,,,,,,,,,,
24341360,163.92,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΠΑΓΚΡΑΤΙ,37.97054,23.74279,3,1125,,30,87,1.08,5.0,1.0,4.89,4.86,4.95,4.95,4.95,4.91,4.89
24407807,74.51,Private room,Private room in condo,1,1.0,1.0,1.0,Greece,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98902,23.74352,1,1125,0.0,22,134,1.7,1.0,1.0,4.66,4.73,4.78,4.73,4.79,4.62,4.74
24484360,216.08,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,"Athens, Greece",ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98474,23.73859,7,1125,0.0,25,10,0.12,,,4.9,4.7,4.9,4.9,4.8,4.8,4.4
24540015,357.65,Entire home/apt,Entire condo,4,2.0,4.0,1.0,"Athens, Greece",ΕΛΛΗΝΟΡΩΣΩΝ,37.99517,23.77609,2,15,1.0,43,258,3.19,4.0,1.0,4.88,4.92,4.9,4.95,4.97,4.8,4.85
24604357,283.14,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,"Pefki, Greece",ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9904,23.73443,2,1125,0.0,25,45,0.56,,,4.78,4.87,4.82,4.84,4.93,4.58,4.87
24673931,506.67,Entire home/apt,Entire rental unit,5,2.0,,,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96582,23.72627,2,32,,39,175,2.16,5.0,2.0,4.77,4.87,4.75,4.77,4.77,4.95,4.78
24682171,394.9,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,"Istanbul, Turkey",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96759,23.72896,2,32,1.0,27,63,0.78,4.0,1.0,4.62,4.84,4.57,4.83,4.63,4.94,4.75
24848501,208.63,Entire home/apt,Entire condo,2,,,,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96355,23.72173,3,14,1.0,42,44,0.55,,,4.93,4.91,4.93,5.0,4.98,4.95,4.89
24913799,692.94,Entire home/apt,Entire rental unit,7,2.0,4.0,1.0,"Athens, Greece",ΖΑΠΠΕΙΟ,37.96774,23.73272,1,1125,,51,376,4.66,4.833333333333333,6.0,4.83,4.86,4.88,4.97,4.98,4.9,4.84
25048595,201.18,Entire home/apt,Entire rental unit,2,1.0,,,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96366,23.72349,2,1125,1.0,29,280,3.49,5.0,3.0,4.89,4.94,4.95,4.92,4.97,4.83,4.93
25150819,327.84,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,"Edinburgh, United Kingdom",ΠΑΓΚΡΑΤΙ,37.96951,23.74475,2,45,1.0,41,48,0.69,5.0,1.0,4.96,4.96,4.9,4.96,5.0,4.83,4.85
25159034,81.96,Private room,Private room in serviced apartment,1,1.0,1.0,1.0,,ΙΛΙΣΙΑ,37.97803,23.75223,1,44,0.0,16,0,,,,,,,,,,
25175484,409.8,Entire home/apt,Entire rental unit,6,2.0,4.0,1.0,"Athens, Greece",ΘΗΣΕΙΟ,37.97536,23.71547,2,60,0.0,29,60,0.75,2.0,1.0,4.93,5.0,4.95,4.92,4.9,4.92,4.92
25182387,596.08,Entire home/apt,Entire rental unit,6,2.0,3.0,1.5,"Athens, Greece",ΖΑΠΠΕΙΟ,37.96769,23.73286,1,365,1.0,48,220,2.75,5.0,2.0,4.9,4.93,4.93,4.91,4.92,4.95,4.81
25229654,312.94,Entire home/apt,Entire condo,2,1.0,1.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97846,23.72674,2,60,1.0,74,448,5.71,5.0,3.0,4.82,4.85,4.83,4.92,4.94,4.94,4.81
25844146,238.43,Entire home/apt,Entire rental unit,5,2.0,4.0,1.0,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99493,23.72803,2,1125,0.0,36,36,0.48,2.0,1.0,4.44,4.44,4.28,4.56,4.67,4.33,4.44
25863077,327.84,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,"Athens, Greece",ΙΛΙΣΙΑ,37.9777,23.75788,3,29,1.0,40,111,1.67,2.0,4.0,4.89,4.91,4.93,4.95,4.98,4.87,4.88
26022897,603.53,Entire home/apt,Entire condo,6,2.0,3.0,2.0,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96614,23.7266,1,999,1.0,56,106,1.34,4.5,2.0,4.94,4.92,4.89,4.88,4.91,4.84,4.89
26104737,223.53,Entire home/apt,Entire condo,3,1.0,2.0,1.0,"Athens, Greece",ΠΕΤΡΑΛΩΝΑ,37.96471,23.71045,3,30,0.0,39,43,0.54,5.0,1.0,4.93,4.98,4.98,4.91,4.95,4.88,4.93
26106993,1162.35,Entire home/apt,Entire rental unit,8,2.0,4.0,1.5,"Athens, Greece",ΚΟΛΩΝΑΚΙ,37.9772,23.74321,1,1125,0.0,27,25,0.4,,,4.32,4.48,4.24,4.6,4.56,4.96,4.16
26122304,610.98,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,"Thessaloniki, Greece",ΚΟΛΩΝΑΚΙ,37.97837,23.74178,3,364,0.0,39,45,0.58,,,4.91,4.96,4.91,4.98,4.96,4.96,4.89
26127618,163.92,Entire home/apt,Entire condo,4,1.0,2.0,1.0,"Athens, Greece",ΚΟΛΩΝΟΣ,37.99963,23.71946,2,30,0.0,34,53,0.67,,,5.0,4.98,5.0,5.0,4.98,4.83,4.98
26279672,141.57,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98813,23.75117,3,730,1.0,17,61,0.93,,,4.82,4.84,4.77,4.92,4.92,4.74,4.8
26405010,402.35,Entire home/apt,Entire rental unit,8,3.0,5.0,1.0,"Athens, Greece",ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99304,23.72884,2,60,,52,261,3.33,4.25,4.0,4.91,4.92,4.9,4.95,4.99,4.43,4.91
26412657,104.31,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99116,23.72856,2,1125,0.0,17,175,2.22,5.0,1.0,4.8,4.9,4.91,4.9,4.98,4.04,4.81
26449233,119.22,Entire home/apt,Entire home,2,1.0,3.0,1.0,"Athens, Greece",ΑΜΠΕΛΟΚΗΠΟΙ,37.99367,23.75881,1,1125,0.0,29,519,6.6,4.0,3.0,4.71,4.81,4.78,4.9,4.93,4.49,4.79
26466169,402.35,Entire home/apt,Entire rental unit,6,2.0,3.0,1.0,"Athens, Greece",ΘΗΣΕΙΟ,37.97426,23.71471,1,28,1.0,31,348,4.45,3.0,1.0,4.78,4.86,4.83,4.86,4.93,4.74,4.82
26496151,216.08,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,"Athens, Greece",ΠΕΤΡΑΛΩΝΑ,37.96548,23.70987,2,365,0.0,21,119,1.52,,,4.62,4.71,4.79,4.82,4.88,4.7,4.61
26559402,491.76,Entire home/apt,Entire home,4,2.0,2.0,2.0,"Athens, Greece",ΑΚΡΟΠΟΛΗ,37.97314,23.71985,4,21,1.0,58,66,0.85,5.0,1.0,5.0,4.97,4.92,5.0,4.95,5.0,4.84
26561092,134.12,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΘΗΣΕΙΟ,37.97654,23.71817,1,10,1.0,28,373,5.37,3.5,2.0,4.98,4.99,4.95,4.98,4.98,4.98,4.95
26716805,298.04,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,"Athens, Greece",ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99029,23.74022,3,1125,0.0,24,61,0.79,,,4.93,4.95,4.84,5.0,5.0,4.89,4.9
26810355,275.69,Entire home/apt,Entire rental unit,4,2.0,,,"Athens, Greece",ΝΕΟΣ ΚΟΣΜΟΣ,37.96316,23.72962,3,30,1.0,45,116,1.49,,,4.96,4.94,4.89,4.96,4.93,4.94,4.94
26853827,491.76,Entire home/apt,Entire rental unit,5,2.0,2.0,1.0,"Athens, Greece",ΖΑΠΠΕΙΟ,37.97106,23.73292,1,1125,0.0,44,306,3.92,5.0,2.0,4.82,4.81,4.9,4.87,4.82,4.95,4.81
26936440,506.67,Entire home/apt,Entire rental unit,5,2.0,4.0,1.0,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96464,23.72558,2,1125,0.0,38,9,0.13,,,4.78,5.0,4.78,4.78,5.0,5.0,4.78
26951298,543.92,Entire home/apt,Entire rental unit,8,4.0,,,"Athens, Greece",ΝΕΟΣ ΚΟΣΜΟΣ,37.96388,23.72831,2,59,1.0,27,181,2.34,,,4.85,4.91,4.87,4.91,4.93,4.87,4.86
26972956,625.88,Entire home/apt,Entire rental unit,4,2.0,,,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97477,23.73045,1,1125,0.0,34,219,2.8,3.0,2.0,4.73,4.76,4.67,4.89,4.89,4.97,4.75
26973493,223.53,Entire home/apt,Entire rental unit,5,2.0,2.0,1.0,"Athens, Greece",ΠΟΛΥΓΩΝΟ,37.99677,23.74705,2,1125,0.0,25,49,0.63,,,4.9,4.88,4.88,4.98,4.98,4.67,4.86
27058839,305.49,Entire home/apt,Entire condo,5,2.0,4.0,2.0,,ΠΑΤΗΣΙΑ,38.01537,23.72984,5,1125,0.0,23,1,0.03,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
27059387,290.59,Entire home/apt,Entire condo,4,1.0,2.0,1.0,"Athens, Greece",ΠΕΤΡΑΛΩΝΑ,37.97055,23.70547,1,1125,1.0,32,159,4.96,1.5,2.0,4.81,4.8,4.82,4.89,4.82,4.65,4.77
27120565,223.53,Entire home/apt,Entire condo,3,1.0,3.0,1.0,"Athens, Greece",ΠΕΤΡΑΛΩΝΑ,37.967506,23.7108,2,365,,49,63,0.92,,,4.97,4.95,4.95,5.0,5.0,4.78,4.89
27136111,126.67,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΓΚΥΖΗ,37.99032,23.74416,2,1125,0.0,18,17,0.22,5.0,1.0,4.76,4.82,4.82,4.76,4.82,4.47,4.65
27177926,290.59,Entire home/apt,Entire rental unit,2,0.0,1.0,1.0,,ΚΟΛΩΝΑΚΙ,37.98076,23.73842,2,60,0.0,27,126,1.63,2.0,3.0,4.61,4.65,4.47,4.69,4.72,4.8,4.55
27191779,581.18,Entire home/apt,Entire rental unit,4,0.0,2.0,1.0,"Chalandri, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98454,23.72635,1,1125,0.0,34,88,1.13,,,4.69,4.76,4.76,4.92,4.85,4.18,4.7
27275877,894.12,Entire home/apt,Entire loft,6,0.0,2.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98233,23.7257,1,1125,0.0,32,379,4.86,5.0,3.0,4.7,4.73,4.66,4.85,4.81,4.56,4.7
27482987,327.84,Entire home/apt,Entire rental unit,4,0.0,2.0,1.0,"Athens, Greece",ΠΑΓΚΡΑΤΙ,37.97156,23.7465,1,1125,1.0,48,19,0.26,,,4.95,4.89,4.95,4.95,4.95,4.89,4.84
27572545,491.76,Entire home/apt,Entire rental unit,5,2.0,3.0,2.0,"Athens, Greece",ΓΟΥΒΑ,37.95819,23.7453,2,1125,0.0,31,34,0.44,,,4.71,4.71,4.76,4.76,4.76,4.74,4.82
27579072,402.35,Entire home/apt,Entire rental unit,4,0.0,2.0,1.0,"Athens, Greece",ΓΟΥΒΑ,37.95985,23.73954,8,365,1.0,48,33,0.44,,,4.97,4.97,4.94,4.97,4.97,4.91,4.91
27585383,312.94,Entire home/apt,Entire rental unit,6,2.0,5.0,2.0,"Athens, Greece",ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.989,23.72778,1,365,1.0,51,21,0.27,,,4.71,4.71,4.86,4.9,5.0,3.86,4.71
27774209,476.86,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97673,23.72746,2,365,,31,521,6.74,4.666666666666667,9.0,4.88,4.92,4.92,4.94,4.96,4.96,4.87
27774424,312.94,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97673,23.72746,1,365,,28,305,3.94,4.0,3.0,4.81,4.87,4.86,4.89,4.93,4.97,4.79
27853870,491.76,Entire home/apt,Entire rental unit,4,0.0,1.0,1.0,"Athens, Greece",ΑΚΡΟΠΟΛΗ,37.97156,23.72896,1,1125,0.0,23,1,0.01,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
28158413,312.94,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Nea Smyrni, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97416,23.73221,1,29,1.0,29,347,4.52,3.5,2.0,4.86,4.88,4.85,4.94,4.95,4.96,4.82
28173727,305.49,Private room,Private room in rental unit,2,3.0,3.0,1.5,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98468,23.73239,2,1125,1.0,29,41,0.54,,,4.68,4.83,4.22,4.95,4.95,4.93,4.68
28488938,618.43,Entire home/apt,Entire rental unit,6,2.0,2.0,2.0,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96922,23.73069,2,1125,1.0,45,243,3.2,5.0,2.0,4.96,4.98,4.91,4.96,4.95,4.99,4.95
28510972,610.98,Entire home/apt,Entire rental unit,4,2.0,3.0,2.0,,ΚΟΛΩΝΑΚΙ,37.97787,23.74116,1,28,1.0,38,59,0.79,,,4.86,4.85,4.85,4.81,4.76,4.97,4.75
28555237,320.39,Entire home/apt,Entire rental unit,2,1.0,2.0,1.0,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.979,23.72775,2,1125,1.0,51,51,0.69,,,4.96,4.98,5.0,4.92,5.0,4.96,4.94
28739154,216.08,Hotel room,Room in aparthotel,3,2.0,5.0,1.0,"Heraklion, Greece",ΠΕΤΡΑΛΩΝΑ,37.97325,23.7124,1,1125,0.0,15,0,,,,,,,,,,
